   ,DEL_DATE,SHOP_CODE,MATERIAL,EFF_DURATION,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,EFF_DURN
30848,8/1/2004,2,I-O-F,0.833333,14,14.5,0.5,0.5,LOCP,CO-44,0.833333
30896,8/1/2004,2,I-O-F,0.416667,12.45,13.1,0.25,0.25,others,CO-69,0.416667
31397,7/28/2004,2,I-O-F,8.5,9,17.3,8.3,8.3,others,CO-35,8.5
31557,7/26/2004,2,I-O-L,9.25,9,18.15,9.15,9.15,others,"CO-5,8,11",9.25
32921,7/15/2004,2,others,0.833333,18.3,19.2,0.5,0.5,LOCP,CO-39,0.833333
33227,7/13/2004,2,BF-COK,1.916667,21.05,23,1.55,1.55,LOCP,CO-30,1.916667
33387,7/12/2004,2,others,9,9,18,9,9,others,"CO-59,60",9
34445,7/4/2004,2,others,8.25,10,18.15,8.15,8.15,others,CO-68,8.25
35022,6/29/2004,2,others,9,10,19,9,9,others,"CO-7,10 ",9
36347,6/19/2004,2,others,3.833333,12,15.5,3.5,3.5,others,CO-14,3.833333
36382,6/19/2004,2,I-O-L,1.333333,14,15.2,1.2,1.2,LOCP,CO-45,1.333333
36450,6/18/2004,2,I-O-F,10,9,19,10,10,others,CO-1,10
37581,6/10/2004,2,BF-DOL,0.666667,19,19.4,0.4,0.4,LOCP,"CO-44,45",0.666667
37856,6/8/2004,2,others,2.166667,3.2,5.3,2.1,2.1,OT-2,CO-14,2.166667
38145,6/6/2004,2,others,9.5,9.3,19,9.3,9.3,others,CO-6,9.5
39377,5/28/2004,2,others,7.75,10,17.45,7.45,7.45,BRC,CO-31,7.75
39404,5/28/2004,2,I-O-L,10.5,9,19.3,10.3,10.3,others,CO-5,10.5
39658,5/26/2004,2,others,2.5,17.3,20,2.3,2.3,others,CO-15,2.5
40075,5/23/2004,2,I-O-F,2.5,23,1.3,2.3,2.3,others,CO-95,2.5
40186,5/22/2004,2,others,0.5,0,0,0.3,0.3,OT-1,CO-9,0.5
40357,5/21/2004,2,BF-DOL,8.75,10.15,19,8.45,8.45,others,"CO-69,66",8.75
40622,5/19/2004,2,I-O-F,3.75,10.15,14,3.45,3.45,others,CO-24,3.75
41111,5/15/2004,2,others,8.75,10,18.45,8.45,8.45,BRC,CO-30,8.75
41208,5/14/2004,2,I-O-F,2,20.45,22.45,2,2,LOCP,CO-44,2
41371,5/13/2004,2,I-O-F,9.75,9,18.45,9.45,9.45,others,"CO-78,80",9.75
41549,5/12/2004,2,others,2.5,3,5.3,2.3,2.3,others,CO-74,2.5
41982,5/9/2004,2,BF-COK,6.25,12.15,18.3,6.15,6.15,others,CO-16,6.25
43752,4/25/2004,2,SMS-LS,3.25,6.3,9.45,3.15,3.15,LOCP,CO-39,3.25
43842,4/24/2004,2,I-O-L,2.5,6,8.3,2.3,27.15,OT-3,CO-2,2.5
44092,4/22/2004,2,others,2,0,0,2,2,OT-1,CO-22,2
44389,4/20/2004,2,I-O-L,2.333333,1.1,3.3,2.2,2.2,OT-3,CO-2,2.333333
44598,4/18/2004,2,others,0.75,5.15,6,0.45,0.45,OT-3,CO-2,0.75
44634,4/18/2004,2,others,2.166667,9.3,11.4,2.1,2.1,LOCP,CO-58,2.166667
44814,4/16/2004,2,others,8,9.3,17.3,8,8,others,CO-24,8
44893,4/15/2004,2,BF-DOL,8.25,9.45,18,8.15,8.15,others,"CO-8,11",8.25
44960,4/14/2004,2,others,7.75,10.15,18,7.45,7.45,others,"CO-59,70",7.75
46356,4/2/2004,2,SMS-LS,9,9,18,9,9,others,"CO-68,65",9
